date,hour,dwpc,relh,sped,tmpc
2017-01-01,00:00,5.0,82.58,0.0,7.78
2017-01-01,01:00,4.39,76.48,0.0,8.28
2017-01-01,02:00,4.39,79.13,0.0,7.78
2017-01-01,03:00,5.0,88.77,0.0,6.72
2017-01-01,04:00,5.0,85.77,0.0,7.22
2017-01-01,05:00,5.0,88.77,0.0,6.72
2017-01-01,06:00,5.0,85.77,0.0,7.22
2017-01-01,07:00,5.0,85.77,3.45,7.22
2017-01-01,08:00,5.61,79.91,3.45,8.89
2017-01-01,09:00,5.61,66.13,5.75,11.72
2017-01-01,10:00,5.61,61.69,4.6,12.78
2017-01-01,11:00,6.11,57.51,0.0,14.39
2017-01-01,12:00,4.39,49.04,0.0,15.0
2017-01-01,13:00,5.61,53.4,0.0,15.0
2017-01-01,14:00,6.72,55.44,0.0,15.61
2017-01-01,15:00,6.72,57.66,0.0,15.0
2017-01-01,16:00,7.22,64.12,0.0,13.89
2017-01-01,17:00,6.72,66.61,0.0,12.78
2017-01-01,18:00,7.22,71.5,0.0,12.22
2017-01-01,19:00,7.22,76.94,0.0,11.11
2017-01-01,20:00,7.22,73.89,0.0,11.72
2017-01-01,21:00,7.22,71.5,3.45,12.22
2017-01-01,22:00,7.22,71.5,0.69,12.22
2017-01-01,23:00,7.22,73.89,4.6,11.72
2017-01-02,00:00,7.22,72.69,1.72,11.97
2017-01-02,01:00,7.5,75.32,1.72,11.72
2017-01-02,02:00,7.78,76.75,0.0,11.72
2017-01-02,03:00,7.78,76.75,0.0,11.72
2017-01-02,04:00,7.22,73.89,0.0,11.72
2017-01-02,05:00,7.22,76.94,3.45,11.11
2017-01-02,06:00,7.22,76.94,3.45,11.11
2017-01-02,07:00,7.78,76.75,1.15,11.72
2017-01-02,08:00,7.78,74.26,0.0,12.22
2017-01-02,09:00,7.78,71.6,4.6,12.78
2017-01-02,10:00,7.78,71.6,3.45,12.78
2017-01-02,11:00,7.22,66.72,0.0,13.28
2017-01-02,12:00,7.22,64.12,4.6,13.89
2017-01-02,13:00,7.22,62.07,4.6,14.39
2017-01-02,14:00,6.72,59.98,0.0,14.39
2017-01-02,15:00,6.11,59.4,0.0,13.89
2017-01-02,16:00,7.22,66.72,4.6,13.28
2017-01-02,17:00,7.5,68.01,1.72,13.28
2017-01-02,18:00,7.78,72.93,0.0,12.5
2017-01-02,19:00,7.78,76.75,0.0,11.72
2017-01-02,20:00,8.28,76.83,0.0,12.22
2017-01-02,21:00,8.28,82.68,0.0,11.11
2017-01-02,22:00,8.28,85.48,0.0,10.61
2017-01-02,23:00,8.28,85.48,3.45,10.61
2017-01-03,00:00,8.28,89.04,0.0,10.0
2017-01-03,01:00,7.78,86.06,3.45,10.0
2017-01-03,02:00,7.78,89.67,0.0,9.39
2017-01-03,03:00,7.78,89.67,0.0,9.39
2017-01-03,04:00,7.78,92.74,0.0,8.89
2017-01-03,05:00,7.78,89.67,0.0,9.39
2017-01-03,06:00,7.22,86.33,0.0,9.39
2017-01-03,07:00,7.22,79.54,0.0,10.61
2017-01-03,08:00,7.22,73.89,0.0,11.72
2017-01-03,09:00,6.72,64.47,0.0,13.28
2017-01-03,10:00,6.72,61.95,0.0,13.89
2017-01-03,11:00,6.72,57.66,0.0,15.0
2017-01-03,12:00,7.22,57.37,0.0,15.61
2017-01-03,13:00,6.72,55.44,0.0,15.61
2017-01-03,14:00,6.11,53.15,0.0,15.61
2017-01-03,15:00,6.72,57.66,0.0,15.0
2017-01-03,16:00,6.72,57.66,0.0,15.0
2017-01-03,17:00,7.22,64.12,0.0,13.89
2017-01-03,18:00,7.22,66.72,0.0,13.28
2017-01-03,19:00,7.22,71.41,0.0,12.25
2017-01-03,20:00,7.22,76.94,0.0,11.11
2017-01-03,21:00,7.22,76.94,0.0,11.11
2017-01-03,22:00,7.22,73.89,0.0,11.72
2017-01-03,23:00,7.22,79.54,0.0,10.61
2017-01-04,00:00,7.22,82.86,0.0,10.0
2017-01-04,01:00,6.72,80.06,0.0,10.0
