date,hour,date_time,dwpc,relh,sped,tmpc,load
2017-01-01,00:00,2017-01-01 00:00,16.72,96.88,3.36,17.22,8791.8
2017-01-01,01:00,2017-01-01 01:00,17.22,100.0,2.39,17.22,8569.7
2017-01-01,02:00,2017-01-01 02:00,17.22,96.55,2.21,17.78,8326.4
2017-01-01,03:00,2017-01-01 03:00,17.22,96.55,0.27,17.78,8137.5
2017-01-01,04:00,2017-01-01 04:00,16.72,96.88,1.95,17.22,8011.9
2017-01-01,05:00,2017-01-01 05:00,16.86,98.44,3.45,17.11,7978.1
2017-01-01,06:00,2017-01-01 06:00,17.11,100.0,2.88,17.11,8057.1
2017-01-01,07:00,2017-01-01 07:00,17.22,96.55,4.19,17.78,8125.8
2017-01-01,08:00,2017-01-01 08:00,17.78,96.9,2.65,18.28,8289.2
2017-01-01,09:00,2017-01-01 09:00,18.03,98.45,2.39,18.28,8646.5
2017-01-01,10:00,2017-01-01 10:00,18.28,93.29,2.74,19.39,8978.8
2017-01-01,11:00,2017-01-01 11:00,18.89,87.14,3.18,21.11,9315.6
2017-01-01,12:00,2017-01-01 12:00,18.89,81.41,4.6,22.22,9617.4
2017-01-01,13:00,2017-01-01 13:00,18.89,73.59,2.48,23.89,9837.9
2017-01-01,14:00,2017-01-01 14:00,18.89,71.41,1.42,24.39,9957.6
2017-01-01,15:00,2017-01-01 15:00,17.22,64.31,3.18,24.39,9987.9
2017-01-01,16:00,2017-01-01 16:00,17.22,70.87,5.66,22.78,9943.9
2017-01-01,17:00,2017-01-01 17:00,17.78,81.27,7.78,21.11,10181.0
2017-01-01,18:00,2017-01-01 18:00,18.28,89.81,7.34,20.0,10583.5
2017-01-01,19:00,2017-01-01 19:00,17.78,93.26,3.72,18.89,10451.0
2017-01-01,20:00,2017-01-01 20:00,17.78,93.26,4.42,18.89,10230.6
2017-01-01,21:00,2017-01-01 21:00,17.78,93.26,4.69,18.89,10014.8
2017-01-01,22:00,2017-01-01 22:00,18.58,96.58,5.26,19.14,9667.7
2017-01-01,23:00,2017-01-01 23:00,18.89,96.93,4.76,19.39,9287.7
2017-01-02,00:00,2017-01-02 00:00,20.0,98.14,4.6,20.3,8836.8
2017-01-02,01:00,2017-01-02 01:00,21.11,98.16,5.42,21.42,8588.2
2017-01-02,02:00,2017-01-02 02:00,21.72,96.99,7.78,22.22,8480.8
2017-01-02,03:00,2017-01-02 03:00,21.86,96.88,11.17,22.39,8506.0
2017-01-02,04:00,2017-01-02 04:00,21.72,93.77,14.33,22.78,8644.7
2017-01-02,05:00,2017-01-02 05:00,21.72,93.77,11.4,22.78,8887.0
2017-01-02,06:00,2017-01-02 06:00,21.52,92.62,11.58,22.78,9176.5
2017-01-02,07:00,2017-01-02 07:00,21.52,92.62,15.47,22.78,9323.8
2017-01-02,08:00,2017-01-02 08:00,21.72,90.97,13.22,23.28,9559.9
2017-01-02,09:00,2017-01-02 09:00,14.8,91.97,16.82,16.11,9602.7
2017-01-02,10:00,2017-01-02 10:00,15.0,86.77,8.23,17.22,9793.9
2017-01-02,11:00,2017-01-02 11:00,15.0,75.74,5.48,19.39,10114.7
2017-01-02,12:00,2017-01-02 12:00,12.78,55.06,9.91,22.22,10411.5
2017-01-02,13:00,2017-01-02 13:00,11.72,49.66,11.32,22.78,10689.0
2017-01-02,14:00,2017-01-02 14:00,11.11,46.27,5.93,23.28,10937.1
2017-01-02,15:00,2017-01-02 15:00,11.11,46.27,8.34,23.28,11037.0
2017-01-02,16:00,2017-01-02 16:00,10.0,44.29,8.14,22.78,10931.5
2017-01-02,17:00,2017-01-02 17:00,11.11,58.74,6.72,19.39,10859.0
2017-01-02,18:00,2017-01-02 18:00,11.11,67.29,4.87,17.22,11112.1
2017-01-02,19:00,2017-01-02 19:00,11.11,69.46,4.42,16.72,10893.9
2017-01-02,20:00,2017-01-02 20:00,11.72,75.2,3.98,16.11,10594.2
2017-01-02,21:00,2017-01-02 21:00,11.11,80.67,3.8,14.39,10196.7
2017-01-02,22:00,2017-01-02 22:00,12.22,83.46,5.13,15.0,9568.1
2017-01-02,23:00,2017-01-02 23:00,12.78,86.56,6.46,15.0,8935.5
2017-01-03,00:00,2017-01-03 00:00,12.22,86.82,3.54,14.39,8516.6
2017-01-03,01:00,2017-01-03 01:00,11.72,93.29,0.8,12.78,8238.2
2017-01-03,02:00,2017-01-03 02:00,11.72,96.76,1.86,12.22,8102.8
2017-01-03,03:00,2017-01-03 03:00,11.11,92.92,1.86,12.22,8094.3
2017-01-03,04:00,2017-01-03 04:00,10.61,96.73,0.8,11.11,8265.7
2017-01-03,05:00,2017-01-03 05:00,10.0,92.86,2.3,11.11,8816.3
2017-01-03,06:00,2017-01-03 06:00,10.61,92.89,5.13,11.72,9615.5
2017-01-03,07:00,2017-01-03 07:00,11.72,90.29,6.37,13.28,10009.8
2017-01-03,08:00,2017-01-03 08:00,13.28,83.29,9.38,16.11,10102.3
2017-01-03,09:00,2017-01-03 09:00,11.72,65.56,11.23,18.28,10235.3
2017-01-03,10:00,2017-01-03 10:00,10.0,47.23,11.69,21.72,10408.9
2017-01-03,11:00,2017-01-03 11:00,7.22,35.6,14.33,23.28,10600.8
2017-01-03,12:00,2017-01-03 12:00,2.78,24.43,15.92,24.39,10758.7
2017-01-03,13:00,2017-01-03 13:00,3.89,24.56,12.65,25.61,10926.7
2017-01-03,14:00,2017-01-03 14:00,2.22,22.64,13.36,25.0,11022.6
2017-01-03,15:00,2017-01-03 15:00,3.89,26.42,10.62,24.39,10988.9
2017-01-03,16:00,2017-01-03 16:00,3.89,28.25,9.73,23.28,10883.8
2017-01-03,17:00,2017-01-03 17:00,4.39,33.39,6.55,21.11,10882.0
2017-01-03,18:00,2017-01-03 18:00,4.39,35.76,6.55,20.0,11092.8
2017-01-03,19:00,2017-01-03 19:00,5.61,40.45,8.49,19.39,10889.1
2017-01-03,20:00,2017-01-03 20:00,6.72,50.03,13.89,17.22,10577.2
2017-01-03,21:00,2017-01-03 21:00,7.22,66.72,14.15,13.28,10100.1
2017-01-03,22:00,2017-01-03 22:00,6.11,66.24,15.13,12.22,9488.8
2017-01-03,23:00,2017-01-03 23:00,5.61,71.19,15.04,10.61,8916.9
2017-01-04,00:00,2017-01-04 00:00,4.39,70.95,15.91,9.39,8462.0
2017-01-04,01:00,2017-01-04 01:00,3.89,73.85,14.42,8.28,8316.5
2017-01-04,02:00,2017-01-04 02:00,3.89,76.4,13.28,7.78,8259.6
2017-01-04,03:00,2017-01-04 03:00,3.28,73.18,14.18,7.78,8336.3
2017-01-04,04:00,2017-01-04 04:00,3.28,78.66,11.92,6.72,8636.6
2017-01-04,05:00,2017-01-04 05:00,2.78,73.37,11.96,7.22,9357.1
2017-01-04,06:00,2017-01-04 06:00,2.78,73.37,12.12,7.22,10504.8
2017-01-04,07:00,2017-01-04 07:00,2.78,73.37,13.28,7.22,10955.0
2017-01-04,08:00,2017-01-04 08:00,2.78,70.82,13.71,7.75,10944.0
2017-01-04,09:00,2017-01-04 09:00,3.89,68.51,10.35,9.39,11119.8
2017-01-04,10:00,2017-01-04 10:00,3.89,65.75,10.35,10.0,11087.7
2017-01-04,11:00,2017-01-04 11:00,4.39,63.24,10.35,11.11,11015.9
2017-01-04,12:00,2017-01-04 12:00,5.61,63.98,7.86,12.22,10858.3
2017-01-04,13:00,2017-01-04 13:00,5.61,61.69,4.98,12.78,10863.9
2017-01-04,14:00,2017-01-04 14:00,5.61,59.71,2.3,13.28,10713.0
2017-01-04,15:00,2017-01-04 15:00,6.11,63.86,1.86,12.78,10602.9
2017-01-04,16:00,2017-01-04 16:00,6.11,66.24,3.01,12.22,10638.3
2017-01-04,17:00,2017-01-04 17:00,6.11,71.28,4.69,11.11,11099.4
2017-01-04,18:00,2017-01-04 18:00,6.11,71.28,5.22,11.11,11605.9
2017-01-04,19:00,2017-01-04 19:00,7.22,76.94,1.15,11.11,11578.6
2017-01-04,20:00,2017-01-04 20:00,7.5,84.46,1.33,10.0,11416.8
2017-01-04,21:00,2017-01-04 21:00,7.22,86.33,4.42,9.39,11010.9
2017-01-04,22:00,2017-01-04 22:00,7.78,86.06,4.6,10.0,10392.6
2017-01-04,23:00,2017-01-04 23:00,8.28,89.04,2.87,10.0,9784.5
2017-01-05,00:00,2017-01-05 00:00,8.28,89.04,4.6,10.0,9472.0
2017-01-05,01:00,2017-01-05 01:00,7.78,86.06,1.06,10.0,9198.3
2017-01-05,02:00,2017-01-05 02:00,7.78,82.62,3.12,10.61,9051.1
2017-01-05,03:00,2017-01-05 03:00,8.28,82.68,0.74,11.11,9031.1
2017-01-05,04:00,2017-01-05 04:00,8.28,79.4,0.53,11.72,9237.9
2017-01-05,05:00,2017-01-05 05:00,8.89,82.76,0.0,11.72,9836.5
2017-01-05,06:00,2017-01-05 06:00,8.89,82.76,1.95,11.72,10685.2
2017-01-05,07:00,2017-01-05 07:00,8.69,81.64,3.29,11.72,10931.8
2017-01-05,08:00,2017-01-05 08:00,8.84,81.11,3.86,11.97,10841.5
2017-01-05,09:00,2017-01-05 09:00,9.26,82.5,6.13,12.15,10912.8
2017-01-05,10:00,2017-01-05 10:00,9.39,74.27,5.66,13.89,10952.6
2017-01-05,11:00,2017-01-05 11:00,10.0,77.38,8.05,13.89,10920.4
2017-01-05,12:00,2017-01-05 12:00,10.0,77.38,8.58,13.89,10825.1
2017-01-05,13:00,2017-01-05 13:00,10.0,78.24,9.97,13.72,10777.9
2017-01-05,14:00,2017-01-05 14:00,10.61,80.6,8.93,13.89,10692.5
2017-01-05,15:00,2017-01-05 15:00,11.72,90.29,9.47,13.28,10696.2
2017-01-05,16:00,2017-01-05 16:00,11.72,86.77,7.61,13.89,10791.9
2017-01-05,17:00,2017-01-05 17:00,11.11,86.71,10.08,13.28,11130.9
2017-01-05,18:00,2017-01-05 18:00,10.86,85.29,9.69,13.28,11378.8
2017-01-05,19:00,2017-01-05 19:00,9.39,79.85,18.02,12.78,11311.2
2017-01-05,20:00,2017-01-05 20:00,9.14,84.5,18.06,11.66,11194.9
2017-01-05,21:00,2017-01-05 21:00,7.25,87.98,19.36,9.14,10882.2
2017-01-05,22:00,2017-01-05 22:00,5.5,83.5,18.78,8.14,10416.8
2017-01-05,23:00,2017-01-05 23:00,4.39,82.19,17.97,7.22,9959.7
2017-01-06,00:00,2017-01-06 00:00,3.89,79.36,17.25,7.22,9679.5
2017-01-06,01:00,2017-01-06 01:00,3.28,78.66,16.36,6.72,9590.4
2017-01-06,02:00,2017-01-06 02:00,2.22,72.99,16.0,6.72,9569.0
2017-01-06,03:00,2017-01-06 03:00,1.72,73.45,16.24,6.11,9720.0
2017-01-06,04:00,2017-01-06 04:00,2.22,78.8,17.76,5.61,10187.4
2017-01-06,05:00,2017-01-06 05:00,1.11,82.08,19.86,3.89,11051.0
