date,hour,date_time,dwpc,relh,sped,tmpc,load
2017-01-01,00:00,2017-01-01 00:00,2.22,88.87,15.52,3.89,2421.0
2017-01-01,01:00,2017-01-01 01:00,1.72,89.53,16.1,3.28,2335.1
2017-01-01,02:00,2017-01-01 02:00,1.72,92.76,15.67,2.78,2263.5
2017-01-01,03:00,2017-01-01 03:00,1.72,92.76,15.52,2.78,2217.0
2017-01-01,04:00,2017-01-01 04:00,1.72,92.76,15.18,2.78,2205.8
2017-01-01,05:00,2017-01-01 05:00,1.11,88.78,15.33,2.78,2231.1
2017-01-01,06:00,2017-01-01 06:00,0.61,89.09,13.64,2.22,2291.3
2017-01-01,07:00,2017-01-01 07:00,0.0,79.08,12.19,3.28,2330.8
2017-01-01,08:00,2017-01-01 08:00,-0.61,69.96,14.18,4.39,2379.4
2017-01-01,09:00,2017-01-01 09:00,-1.72,59.22,16.92,5.61,2430.2
2017-01-01,10:00,2017-01-01 10:00,-2.78,54.78,18.63,5.61,2485.1
2017-01-01,11:00,2017-01-01 11:00,-3.89,50.42,18.02,5.61,2508.1
2017-01-01,12:00,2017-01-01 12:00,-5.0,44.8,19.84,6.11,2530.7
2017-01-01,13:00,2017-01-01 13:00,-5.61,41.0,16.1,6.72,2537.1
2017-01-01,14:00,2017-01-01 14:00,-5.61,42.77,19.17,6.11,2555.8
2017-01-01,15:00,2017-01-01 15:00,-6.11,42.62,14.95,5.61,2606.2
2017-01-01,16:00,2017-01-01 16:00,-6.11,46.41,12.84,4.39,2791.7
2017-01-01,17:00,2017-01-01 17:00,-6.11,44.47,9.66,5.0,2951.3
2017-01-01,18:00,2017-01-01 18:00,-6.11,50.18,11.31,3.28,2960.4
2017-01-01,19:00,2017-01-01 19:00,-6.11,51.99,10.02,2.78,2921.6
2017-01-01,20:00,2017-01-01 20:00,-6.11,51.99,7.04,2.78,2861.0
2017-01-01,21:00,2017-01-01 21:00,-5.61,58.22,6.71,1.72,2773.6
2017-01-01,22:00,2017-01-01 22:00,-5.61,58.22,6.32,1.72,2625.9
2017-01-01,23:00,2017-01-01 23:00,-5.0,66.06,6.61,0.61,2475.1
2017-01-02,00:00,2017-01-02 00:00,-5.0,66.06,6.76,0.61,2361.0
2017-01-02,01:00,2017-01-02 01:00,-5.0,69.04,3.96,0.0,2284.2
2017-01-02,02:00,2017-01-02 02:00,-5.0,74.87,0.57,-1.11,2253.6
2017-01-02,03:00,2017-01-02 03:00,-5.0,78.3,0.0,-1.72,2261.4
2017-01-02,04:00,2017-01-02 04:00,-4.39,75.59,0.58,-0.61,2305.2
2017-01-02,05:00,2017-01-02 05:00,-3.89,78.48,1.15,-0.61,2409.1
2017-01-02,06:00,2017-01-02 06:00,-4.39,82.0,1.66,-1.72,2552.0
2017-01-02,07:00,2017-01-02 07:00,-3.28,85.21,4.6,-1.11,2644.3
2017-01-02,08:00,2017-01-02 08:00,-2.78,81.55,4.31,0.0,2748.1
2017-01-02,09:00,2017-01-02 09:00,-3.28,66.97,4.76,2.22,2831.4
2017-01-02,10:00,2017-01-02 10:00,-2.78,64.49,0.77,3.28,2880.6
2017-01-02,11:00,2017-01-02 11:00,-1.72,64.49,0.38,4.39,2898.1
2017-01-02,12:00,2017-01-02 12:00,-2.22,62.15,2.07,4.39,2888.2
2017-01-02,13:00,2017-01-02 13:00,-2.78,59.65,0.8,4.39,2902.7
2017-01-02,14:00,2017-01-02 14:00,-2.22,64.37,2.68,3.89,2913.0
2017-01-02,15:00,2017-01-02 15:00,-0.61,69.96,4.86,4.39,2957.5
2017-01-02,16:00,2017-01-02 16:00,0.61,76.44,6.01,4.39,3134.3
2017-01-02,17:00,2017-01-02 17:00,1.11,82.08,8.05,3.89,3264.0
2017-01-02,18:00,2017-01-02 18:00,1.72,82.8,8.24,4.39,3204.2
2017-01-02,19:00,2017-01-02 19:00,1.72,82.8,6.9,4.39,3118.7
2017-01-02,20:00,2017-01-02 20:00,1.72,82.8,6.19,4.39,3008.3
2017-01-02,21:00,2017-01-02 21:00,1.72,79.34,7.67,5.0,2843.9
2017-01-02,22:00,2017-01-02 22:00,1.72,79.34,9.2,5.0,2612.1
2017-01-02,23:00,2017-01-02 23:00,2.22,82.22,11.21,5.0,2400.0
2017-01-03,00:00,2017-01-03 00:00,2.22,82.22,11.93,5.0,2257.0
2017-01-03,01:00,2017-01-03 01:00,2.59,84.43,10.92,5.0,2171.8
2017-01-03,02:00,2017-01-03 02:00,2.78,85.54,9.33,5.0,2133.7
2017-01-03,03:00,2017-01-03 03:00,3.28,88.62,9.34,5.0,2140.5
2017-01-03,04:00,2017-01-03 04:00,3.89,92.52,13.14,5.0,2209.8
2017-01-03,05:00,2017-01-03 05:00,3.89,90.6,16.23,5.3,2401.3
2017-01-03,06:00,2017-01-03 06:00,3.14,83.0,18.11,5.8,2765.6
