date,hour,date_time,dwpc,relh,sped,tmpc,load
2017-01-01,00:00,2017-01-01 00:00,-3.89,43.44,11.15,7.78,5011.2
2017-01-01,01:00,2017-01-01 01:00,-2.22,51.08,11.29,7.22,4837.3
2017-01-01,02:00,2017-01-01 02:00,-3.28,45.47,11.41,7.78,4652.6
2017-01-01,03:00,2017-01-01 03:00,-3.89,43.44,11.41,7.78,4500.7
2017-01-01,04:00,2017-01-01 04:00,-4.39,40.44,13.18,8.28,4423.5
2017-01-01,05:00,2017-01-01 05:00,-3.89,41.99,13.36,8.28,4433.2
2017-01-01,06:00,2017-01-01 06:00,-3.28,43.95,13.53,8.28,4486.5
2017-01-01,07:00,2017-01-01 07:00,-2.78,45.62,13.71,8.28,4526.2
2017-01-01,08:00,2017-01-01 08:00,-2.78,45.62,12.94,8.28,4645.0
2017-01-01,09:00,2017-01-01 09:00,-1.72,49.32,14.28,8.28,4798.5
2017-01-01,10:00,2017-01-01 10:00,-3.28,43.95,16.39,8.28,4953.9
2017-01-01,11:00,2017-01-01 11:00,-4.39,38.8,12.65,8.89,5066.5
2017-01-01,12:00,2017-01-01 12:00,-5.0,37.06,12.12,8.89,5129.7
2017-01-01,13:00,2017-01-01 13:00,-5.61,34.2,11.79,9.39,5165.3
2017-01-01,14:00,2017-01-01 14:00,-6.11,32.93,11.41,9.39,5183.2
2017-01-01,15:00,2017-01-01 15:00,-5.0,37.06,9.29,8.89,5215.5
2017-01-01,16:00,2017-01-01 16:00,-6.11,35.49,8.05,8.28,5366.1
2017-01-01,17:00,2017-01-01 17:00,-6.72,35.04,7.43,7.78,5650.7
2017-01-01,18:00,2017-01-01 18:00,-6.11,39.47,6.28,6.72,5686.0
2017-01-01,19:00,2017-01-01 19:00,-4.39,46.91,2.03,6.11,5640.2
2017-01-01,20:00,2017-01-01 20:00,-4.39,48.56,4.69,5.61,5580.8
2017-01-01,21:00,2017-01-01 21:00,-1.72,64.49,2.65,4.39,5479.6
2017-01-01,22:00,2017-01-01 22:00,-1.11,67.45,2.21,4.39,5287.1
2017-01-01,23:00,2017-01-01 23:00,0.0,75.75,7.08,3.89,5032.2
2017-01-02,00:00,2017-01-02 00:00,-0.61,75.64,7.87,3.28,4770.0
2017-01-02,01:00,2017-01-02 01:00,-0.61,75.64,4.78,3.28,4576.6
2017-01-02,02:00,2017-01-02 02:00,-3.28,59.52,7.08,3.89,4457.1
2017-01-02,03:00,2017-01-02 03:00,-3.89,59.36,6.63,3.28,4393.2
2017-01-02,04:00,2017-01-02 04:00,-3.89,59.36,6.99,3.28,4390.1
2017-01-02,05:00,2017-01-02 05:00,-3.89,56.86,7.43,3.89,4497.2
2017-01-02,06:00,2017-01-02 06:00,-3.89,54.9,8.85,4.39,4682.3
2017-01-02,07:00,2017-01-02 07:00,-2.41,62.88,8.97,4.06,4883.0
2017-01-02,08:00,2017-01-02 08:00,-0.61,72.45,9.73,3.89,5144.1
2017-01-02,09:00,2017-01-02 09:00,0.61,76.44,10.97,4.39,5416.2
2017-01-02,10:00,2017-01-02 10:00,1.11,75.94,13.94,5.0,5638.0
2017-01-02,11:00,2017-01-02 11:00,1.72,82.8,13.9,4.39,5774.2
2017-01-02,12:00,2017-01-02 12:00,2.22,85.81,11.77,4.39,5853.8
2017-01-02,13:00,2017-01-02 13:00,2.22,85.81,13.09,4.39,5904.9
