date,hour,date_time,dwpc,relh,sped,tmpc,load
2017-01-01,00:00,2017-01-01 00:00,-7.78,74.36,4.25,-3.89,10196.5
2017-01-01,01:00,2017-01-01 01:00,-7.78,74.36,2.92,-3.89,9892.9
2017-01-01,02:00,2017-01-01 02:00,-7.22,77.62,2.03,-3.89,9654.3
2017-01-01,03:00,2017-01-01 03:00,-7.78,77.21,5.22,-4.39,9437.0
2017-01-01,04:00,2017-01-01 04:00,-8.28,81.46,6.37,-5.61,9370.0
2017-01-01,05:00,2017-01-01 05:00,-8.28,81.46,5.93,-5.61,9321.5
2017-01-01,06:00,2017-01-01 06:00,-8.28,81.46,6.63,-5.61,9459.0
2017-01-01,07:00,2017-01-01 07:00,-8.28,81.46,6.55,-5.61,9601.6
2017-01-01,08:00,2017-01-01 08:00,-6.72,77.06,4.87,-3.28,9587.0
2017-01-01,09:00,2017-01-01 09:00,-6.11,68.81,3.01,-1.11,9529.6
2017-01-01,10:00,2017-01-01 10:00,-6.11,60.71,3.36,0.61,9513.4
2017-01-01,11:00,2017-01-01 11:00,-6.72,51.61,8.58,2.22,9477.5
2017-01-01,12:00,2017-01-01 12:00,-6.11,51.99,9.73,2.78,9511.0
2017-01-01,13:00,2017-01-01 13:00,-7.22,44.14,8.58,3.89,9459.4
2017-01-01,14:00,2017-01-01 14:00,-7.22,44.14,7.43,3.89,9366.9
2017-01-01,15:00,2017-01-01 15:00,-7.78,40.82,1.15,4.39,9328.0
2017-01-01,16:00,2017-01-01 16:00,-7.78,44.14,0.8,3.28,9427.8
2017-01-01,17:00,2017-01-01 17:00,-7.22,46.08,2.3,3.28,10134.0
2017-01-01,18:00,2017-01-01 18:00,-6.72,51.61,5.48,2.22,10850.6
2017-01-01,19:00,2017-01-01 19:00,-6.11,56.05,8.76,1.72,10882.5
2017-01-01,20:00,2017-01-01 20:00,-5.0,60.99,6.81,1.72,10831.4
2017-01-01,21:00,2017-01-01 21:00,-5.0,63.72,7.96,1.11,10690.9
2017-01-01,22:00,2017-01-01 22:00,-4.39,63.86,7.25,1.72,10484.5
