date,hour,date_time,dwpc,relh,sped,tmpc,load
2017-01-01,00:00,2017-01-01 00:00,-6.72,83.75,3.22,-4.39,1700.1
2017-01-01,01:00,2017-01-01 01:00,-6.72,83.75,4.6,-4.39,1684.8
2017-01-01,02:00,2017-01-01 02:00,-6.72,83.75,3.74,-4.39,1673.1
2017-01-01,03:00,2017-01-01 03:00,-6.72,87.7,5.03,-5.0,1705.4
2017-01-01,04:00,2017-01-01 04:00,-6.72,87.7,5.42,-5.0,1718.5
2017-01-01,05:00,2017-01-01 05:00,-6.72,87.7,5.89,-5.0,1717.0
2017-01-01,06:00,2017-01-01 06:00,-6.11,91.9,4.95,-5.0,1763.1
2017-01-01,07:00,2017-01-01 07:00,-6.11,91.9,3.97,-5.0,1840.6
2017-01-01,08:00,2017-01-01 08:00,-3.89,88.33,6.13,-2.22,1829.0
2017-01-01,09:00,2017-01-01 09:00,-2.22,84.98,6.67,0.0,1820.5
2017-01-01,10:00,2017-01-01 10:00,-2.22,78.43,7.82,1.11,1775.9
2017-01-01,11:00,2017-01-01 11:00,-1.72,72.24,7.79,2.78,1775.7
2017-01-01,12:00,2017-01-01 12:00,-1.72,64.49,8.62,4.39,1764.9
2017-01-01,13:00,2017-01-01 13:00,-2.22,52.86,8.97,6.72,1716.4
2017-01-01,14:00,2017-01-01 14:00,-1.72,57.21,9.2,6.11,1701.5
2017-01-01,15:00,2017-01-01 15:00,-1.11,59.83,10.51,6.11,1709.2
2017-01-01,16:00,2017-01-01 16:00,-1.11,59.83,10.35,6.11,1760.7
2017-01-01,17:00,2017-01-01 17:00,-1.11,67.45,10.35,4.39,1927.4
2017-01-01,18:00,2017-01-01 18:00,-1.11,72.93,9.78,3.28,1971.1
2017-01-01,19:00,2017-01-01 19:00,-1.72,72.24,10.16,2.78,1971.1
2017-01-01,20:00,2017-01-01 20:00,-1.11,69.85,10.81,3.89,1938.7
2017-01-01,21:00,2017-01-01 21:00,-1.11,72.93,12.19,3.28,1892.3
2017-01-01,22:00,2017-01-01 22:00,-0.61,78.37,9.89,2.78,1812.7
2017-01-01,23:00,2017-01-01 23:00,0.0,85.91,8.05,2.11,1722.4
2017-01-02,00:00,2017-01-02 00:00,2.2,92.28,8.48,3.32,1647.5
2017-01-02,01:00,2017-01-02 01:00,3.48,97.19,7.53,3.89,1584.9
2017-01-02,02:00,2017-01-02 02:00,4.39,100.0,7.02,4.39,1534.7
2017-01-02,03:00,2017-01-02 03:00,5.0,100.0,8.15,5.0,1545.2
2017-01-02,04:00,2017-01-02 04:00,5.61,100.0,8.87,5.61,1546.9
2017-01-02,05:00,2017-01-02 05:00,6.11,100.0,9.86,6.11,1603.8
2017-01-02,06:00,2017-01-02 06:00,6.11,100.0,8.17,6.11,1667.8
2017-01-02,07:00,2017-01-02 07:00,6.11,100.0,7.84,6.11,1718.9
2017-01-02,08:00,2017-01-02 08:00,6.72,100.0,7.48,6.72,1734.0
2017-01-02,09:00,2017-01-02 09:00,7.22,100.0,9.43,7.22,1787.6
2017-01-02,10:00,2017-01-02 10:00,7.78,100.0,8.69,7.78,1809.7
2017-01-02,11:00,2017-01-02 11:00,7.89,100.0,7.94,7.89,1808.6
2017-01-02,12:00,2017-01-02 12:00,8.28,100.0,7.0,8.28,1793.6
2017-01-02,13:00,2017-01-02 13:00,8.89,100.0,6.71,8.89,1773.5
2017-01-02,14:00,2017-01-02 14:00,8.89,100.0,7.42,8.89,1776.3
2017-01-02,15:00,2017-01-02 15:00,8.89,100.0,6.26,8.89,1760.7
2017-01-02,16:00,2017-01-02 16:00,8.89,100.0,5.26,8.89,1793.7
2017-01-02,17:00,2017-01-02 17:00,8.94,100.0,2.44,8.94,1916.9
2017-01-02,18:00,2017-01-02 18:00,8.89,100.0,2.94,8.89,1897.7
2017-01-02,19:00,2017-01-02 19:00,8.89,100.0,4.6,8.89,1836.6
2017-01-02,20:00,2017-01-02 20:00,8.89,100.0,2.61,8.89,1779.9
2017-01-02,21:00,2017-01-02 21:00,8.92,100.0,2.01,8.92,1709.0
2017-01-02,22:00,2017-01-02 22:00,8.65,100.0,5.93,8.65,1625.4
2017-01-02,23:00,2017-01-02 23:00,7.78,100.0,8.87,7.78,1549.9
2017-01-03,00:00,2017-01-03 00:00,6.39,100.0,12.19,6.39,1520.7
2017-01-03,01:00,2017-01-03 01:00,5.54,100.0,15.05,5.54,1504.9
2017-01-03,02:00,2017-01-03 02:00,3.28,100.0,15.33,3.28,1511.2
2017-01-03,03:00,2017-01-03 03:00,2.22,100.0,14.13,2.22,1533.2
2017-01-03,04:00,2017-01-03 04:00,2.22,100.0,14.29,2.22,1597.9
2017-01-03,05:00,2017-01-03 05:00,1.11,95.71,16.1,1.72,1725.8
2017-01-03,06:00,2017-01-03 06:00,1.11,100.0,16.9,1.11,1903.6
2017-01-03,07:00,2017-01-03 07:00,-0.54,100.0,15.87,-0.54,2058.3
2017-01-03,08:00,2017-01-03 08:00,-2.22,96.38,16.63,-1.72,2107.5
2017-01-03,09:00,2017-01-03 09:00,-4.26,90.03,17.77,-2.85,2160.8
2017-01-03,10:00,2017-01-03 10:00,-5.86,84.21,16.1,-3.58,2224.5
2017-01-03,11:00,2017-01-03 11:00,-7.25,77.51,17.25,-3.89,2266.4
2017-01-03,12:00,2017-01-03 12:00,-8.89,74.15,18.3,-5.0,2290.7
2017-01-03,13:00,2017-01-03 13:00,-8.28,65.84,16.29,-2.78,2258.1
2017-01-03,14:00,2017-01-03 14:00,-8.28,63.19,17.35,-2.22,2183.6
2017-01-03,15:00,2017-01-03 15:00,-9.39,60.37,15.81,-2.78,2167.4
2017-01-03,16:00,2017-01-03 16:00,-10.0,64.89,14.26,-4.39,2216.2
2017-01-03,17:00,2017-01-03 17:00,-10.61,67.82,15.81,-5.61,2397.4
2017-01-03,18:00,2017-01-03 18:00,-11.72,67.57,15.52,-6.72,2451.7
2017-01-03,19:00,2017-01-03 19:00,-11.72,67.57,15.06,-6.72,2401.7
2017-01-03,20:00,2017-01-03 20:00,-12.22,67.46,14.64,-7.22,2377.8
2017-01-03,21:00,2017-01-03 21:00,-11.72,73.3,12.3,-7.78,2319.6
2017-01-03,22:00,2017-01-03 22:00,-12.22,73.2,11.36,-8.28,2191.8
2017-01-03,23:00,2017-01-03 23:00,-12.78,73.41,9.33,-8.89,2077.4
2017-01-04,00:00,2017-01-04 00:00,-13.28,73.31,9.32,-9.39,2012.7
2017-01-04,01:00,2017-01-04 01:00,-13.89,73.19,8.56,-10.0,1997.1
2017-01-04,02:00,2017-01-04 02:00,-14.39,73.74,9.41,-10.61,1999.6
2017-01-04,03:00,2017-01-04 03:00,-13.89,79.93,8.68,-11.11,2016.5
2017-01-04,04:00,2017-01-04 04:00,-13.89,79.93,7.47,-11.11,2053.3
2017-01-04,05:00,2017-01-04 05:00,-14.39,80.57,6.8,-11.72,2172.5
2017-01-04,06:00,2017-01-04 06:00,-15.0,79.76,8.89,-12.22,2356.6
2017-01-04,07:00,2017-01-04 07:00,-15.0,79.76,9.43,-12.22,2472.1
2017-01-04,08:00,2017-01-04 08:00,-15.0,76.62,9.62,-11.72,2424.4
2017-01-04,09:00,2017-01-04 09:00,-15.0,66.82,8.69,-10.0,2353.9
2017-01-04,10:00,2017-01-04 10:00,-15.0,58.38,7.13,-8.28,2280.9
2017-01-04,11:00,2017-01-04 11:00,-15.0,53.8,5.75,-7.22,2222.9
2017-01-04,12:00,2017-01-04 12:00,-15.61,49.22,5.93,-6.72,2169.0
2017-01-04,13:00,2017-01-04 13:00,-15.0,47.56,5.65,-5.86,2152.4
2017-01-04,14:00,2017-01-04 14:00,-15.0,51.77,7.0,-6.72,2176.8
2017-01-04,15:00,2017-01-04 15:00,-15.0,51.77,6.8,-6.72,2206.0
2017-01-04,16:00,2017-01-04 16:00,-15.0,51.77,7.39,-6.72,2272.9
2017-01-04,17:00,2017-01-04 17:00,-13.89,56.71,7.06,-6.72,2409.9
2017-01-04,18:00,2017-01-04 18:00,-14.39,56.57,9.06,-7.22,2438.6
2017-01-04,19:00,2017-01-04 19:00,-13.28,61.94,8.56,-7.22,2415.1
2017-01-04,20:00,2017-01-04 20:00,-13.89,64.5,10.35,-7.78,2378.0
2017-01-04,21:00,2017-01-04 21:00,-13.89,67.07,11.5,-8.89,2303.0
2017-01-04,22:00,2017-01-04 22:00,-11.14,86.42,10.14,-9.26,2176.6
2017-01-04,23:00,2017-01-04 23:00,-10.57,95.56,7.79,-10.0,2073.6
2017-01-05,00:00,2017-01-05 00:00,-11.11,96.1,7.86,-10.61,2020.3
2017-01-05,01:00,2017-01-05 01:00,-11.31,95.81,8.24,-10.78,2000.0
2017-01-05,02:00,2017-01-05 02:00,-12.59,90.31,12.22,-11.31,2011.9
2017-01-05,03:00,2017-01-05 03:00,-13.89,91.37,9.04,-12.78,2034.6
